Krant	veel	zich	zou	al	door	aan	heeft	mensen	tegen	we	wat	was	er	wel	kan	maar	zo	ze	meer	ik	die	dit	ook	werd	je	volgens	deze	naar	worden	kunnen	bij	dan	jaar	uit	over	tot	geen	n	nu	hun	hebben	om	of	als	hij	moeten	niet	moet	wordt	nog
PVV spint garen bij eurocrisisSun, 17 Jul 2011 09:06:00 GMT	0	1	0	0	0	3	2	1	0	1	0	0	6	1	0	0	0	1	1	0	3	2	0	0	0	2	2	0	0	0	3	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	3	1	1	1
'Chauvinisme is belast, behalve in de sport'Sat, 16 Jul 2011 07:00:00 GMT	0	0	0	2	1	1	0	0	0	0	0	1	0	1	3	3	1	0	3	0	0	0	2	2	0	0	1	0	2	0	1	0	0	1	1	0	0	0	1	0	0	2	1	0	0	0	4	1	0	2
Prijs Nederlandse Kinderjury wederom voor Francine OomenWed, 29 Jun 2011 15:45:00 GMT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	1	0	0	0	1	2	0	0	0	0	5	2	0	2	0	0	0	2	2	0	0	2	1	0	0	0	0	0
Acteur John Kraaijkamp (86) overledenMon, 18 Jul 2011 03:20:00 GMT	0	1	0	3	1	1	1	0	0	0	0	5	4	0	0	1	2	0	0	0	3	0	3	0	0	0	1	0	0	0	4	0	3	0	1	1	0	0	0	0	0	1	0	3	12	0	1	0	1	2
Ierland stuurt diplomaat op 'schandelijk' Vaticaan afThu, 14 Jul 2011 16:43:00 GMT	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0
Cultus van het leedMon, 18 Jul 2011 21:30:00 GMT	0	0	1	2	3	2	3	1	0	1	0	0	4	1	0	4	0	2	1	3	9	1	3	4	0	0	3	0	3	1	0	3	0	1	4	1	0	0	3	3	2	2	2	7	7	2	7	0	2	3
Japan in rep en roer door besmet vlees in hele landSun, 17 Jul 2011 13:58:00 GMT	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Internetgegevens nog maar half jaar bewaardFri, 15 Jul 2011 13:27:00 GMT	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	1	1	0	0	0	0	0	1	0	0	1	2
Goede Doelen MonitorThu, 14 Jul 2011 05:27:00 GMT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0
Rebekah Brooks op borgtocht vrijgelatenSun, 17 Jul 2011 23:27:00 GMT	0	0	1	2	0	3	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0
Murdoch en Brooks bereiden zich voor op vragenvuurTue, 19 Jul 2011 09:13:00 GMT	0	1	0	0	5	5	2	0	0	0	1	3	3	1	0	1	1	0	1	0	4	0	0	4	0	0	2	3	0	0	4	0	1	0	4	3	1	0	0	1	3	6	14	5	5	2	5	0	8	1
Aangereden Ruben Nicolai presenteert weer Allerslechtste ChauffeurSat, 16 Jul 2011 15:08:00 GMT	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	2	3	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2
Wél werk voor ruim 10.000 mensen in digitale kunstMon, 18 Jul 2011 11:59:00 GMT	2	1	0	0	1	4	0	1	0	1	0	0	1	0	0	1	2	0	1	0	1	0	3	2	1	0	4	0	2	0	1	0	0	2	3	0	0	1	1	0	0	2	0	1	0	0	0	1	3	0
Hockeyers ruim langs Nieuw-ZeelandMon, 18 Jul 2011 19:48:00 GMT	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
'Help de Hoorn van Afrika'Mon, 18 Jul 2011 10:32:00 GMT	1	0	0	0	2	2	2	2	0	4	0	1	1	1	0	3	1	0	1	0	3	1	4	2	0	0	0	1	0	1	0	2	1	4	2	0	0	0	1	0	0	4	0	2	0	2	4	0	1	1
De Staat beste strandtent van NederlandWed, 13 Jul 2011 12:45:00 GMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Lastminutes deze zomer niet goedkoperTue, 19 Jul 2011 07:11:00 GMT	1	0	0	0	2	0	2	1	0	0	0	0	3	0	0	1	0	1	7	0	1	0	3	0	0	0	0	3	3	2	3	2	2	2	0	1	1	0	0	0	1	2	1	4	0	1	3	0	0	3
Toeristen blijven weg naar Griekenland vindenFri, 08 Jul 2011 12:03:00 GMT	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Feyenoord wil Schenkeveld en Auassar bij Excelsior stallenTue, 19 Jul 2011 06:30:00 GMT	0	0	0	0	1	2	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1
Onderwijsbonden eisen salarisplafond interim-bestuurderMon, 04 Jul 2011 03:59:00 GMT	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	2	0	0	1	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Nutteloze bèta-onderzoekenTue, 12 Jul 2011 14:32:00 GMT	0	0	1	3	3	5	1	1	0	1	3	0	2	0	0	3	4	1	2	2	5	2	3	1	1	0	1	2	2	1	0	4	0	2	2	1	1	2	2	4	1	4	0	4	0	1	2	0	1	2
Teleurstellende Heister had schouderblessureTue, 19 Jul 2011 05:30:00 GMT	1	0	0	1	1	0	2	0	0	1	0	2	0	1	0	1	1	3	0	4	1	1	0	1	3	0	0	0	0	1	1	1	2	0	1	0	0	0	0	0	0	0	0	1	0	1	4	0	0	1
Filmfonds investeert 2,5 miljoen in 5 speelfilmsFri, 15 Jul 2011 15:05:00 GMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Okee, het is herfst...Sun, 17 Jul 2011 14:06:00 GMT	0	1	0	3	0	1	0	0	0	1	2	1	0	0	0	4	1	0	2	5	5	0	1	0	7	0	1	2	0	1	1	4	0	1	0	2	0	1	3	0	1	0	0	2	0	0	4	1	0	2
'Patiënt met 's werelds eerste dubbele beentransplantatie kan over half jaar lopen'Tue, 12 Jul 2011 15:28:00 GMT	0	1	1	0	0	0	2	0	0	0	0	2	1	0	2	1	0	0	2	0	2	0	1	0	0	1	0	1	0	2	1	1	1	0	4	1	0	1	0	0	0	1	2	1	3	0	4	0	0	1
Meerokende tieners twee keer zoveel kans op doofheidTue, 19 Jul 2011 08:51:00 GMT	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1
Chip tegen reumaMon, 18 Jul 2011 05:13:00 GMT	0	0	0	2	0	3	0	0	0	2	0	0	1	0	0	0	1	0	1	0	4	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	4	0
KLIKTIPS - Moraliteit zonder GodMon, 18 Jul 2011 07:12:00 GMT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0
Oproep tot besnijdenis Swaziland tegen 'terroristen'-hivFri, 15 Jul 2011 19:08:00 GMT	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
'Vraag meer van de burger voor publieke diensten'Sat, 16 Jul 2011 05:30:00 GMT	4	3	3	3	8	18	4	3	3	5	0	0	17	3	4	15	6	1	9	0	13	6	4	0	2	1	5	3	5	5	10	6	1	3	3	3	1	2	1	1	2	10	6	8	1	2	17	3	5	4
Ex-minister: Libië zit achter aanslag op Frans vliegtuigMon, 18 Jul 2011 10:37:00 GMT	0	0	0	2	0	3	0	0	0	0	0	4	2	1	0	2	1	2	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	1
Anouk  overweegt te stoppenSat, 16 Jul 2011 14:45:00 GMT	0	0	3	0	1	1	3	1	0	1	2	1	0	1	1	3	3	3	5	17	0	0	2	1	0	0	1	0	1	0	0	6	2	0	3	0	2	0	1	0	1	4	0	5	0	2	8	2	0	2
Vos fietst voorlopig nog niet tussen de mannenMon, 18 Jul 2011 10:48:00 GMT	0	1	2	1	0	2	0	0	1	0	0	1	0	1	2	2	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1
China wijdt weer bisschop zonder instemming pausThu, 14 Jul 2011 11:28:00 GMT	0	1	0	0	5	5	1	0	2	0	0	1	1	1	0	1	0	0	1	0	3	0	1	0	0	1	0	0	1	1	2	1	0	1	3	0	0	0	1	1	0	5	0	2	0	0	2	0	1	0
Man bekent doodslaan van 23 zeehondenTue, 19 Jul 2011 08:19:00 GMT	0	0	0	0	0	1	3	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	5	0	0	0	0	0
Dagboeken Josef Mengele te koopTue, 19 Jul 2011 00:59:00 GMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	0
'Van Gaal wijst Feyenoord af'Mon, 18 Jul 2011 10:47:00 GMT	0	1	0	0	3	2	2	0	1	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	1	0	3	1	0	3	1	0	0	0	0	0	0	1	0	0	2	1	3	3	0	2	0	3	2
Debat pedofielenvereniging Martijn na zomerWed, 13 Jul 2011 11:26:00 GMT	1	0	0	2	2	4	2	1	0	0	0	0	4	2	4	0	0	2	0	0	3	1	1	0	0	0	0	0	4	0	2	2	2	0	4	1	0	1	0	0	0	6	7	2	2	0	4	0	1	2
Tiener doodt ouders en geeft party met hun lijken in huisMon, 18 Jul 2011 23:35:00 GMT	0	0	0	1	0	2	1	0	0	0	0	3	0	1	0	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	3	0	1	0	0	1
Afscheid John Kraaijkamp vrijdag in DeLaMarMon, 18 Jul 2011 12:42:00 GMT	1	0	0	0	0	2	2	0	0	1	0	0	0	0	1	0	1	0	0	0	2	1	2	0	0	1	0	1	0	0	3	0	1	1	1	0	0	1	0	0	0	2	0	0	2	0	0	0	2	0
Zoektocht naar Duitse 'staatsgevaarlijke' terroristenTue, 19 Jul 2011 09:30:00 GMT	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hoe werkt een zendmast eigenlijk?Mon, 18 Jul 2011 06:24:00 GMT	0	0	0	0	6	1	3	0	0	0	0	0	0	0	2	2	2	2	1	0	9	0	4	0	3	0	0	2	3	1	0	3	0	2	1	2	1	1	1	2	0	1	2	4	0	1	1	1	5	1
Jongste Britse opa is... 29 jaarFri, 15 Jul 2011 02:25:00 GMT	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	2	1	5	0	5	2	0	2	4	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	1	0	1	6	0	4	0	0	2
Van Haersma Buma: veertien CDA-zetels in de peilingen is normaal in deze faseWed, 13 Jul 2011 07:46:00 GMT	0	0	0	2	3	0	3	0	1	7	0	3	2	0	0	0	0	1	0	6	4	0	0	1	0	1	2	1	0	0	3	6	0	1	1	0	1	0	3	0	1	3	1	0	1	1	3	0	0	0
Opvoeding kinderen schiet vaker tekortMon, 04 Jul 2011 14:00:00 GMT	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	1	0	3	0	1	0	2	1	1	0	2	1	1	2	2	2	3	0	1	0	0	2	1	0	4	2	0	0	0	0	1	0
China executeert oud-ambtenaren om steekpenningenTue, 19 Jul 2011 06:18:00 GMT	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Inholland onderzoekt fraude bij tentamensTue, 05 Jul 2011 09:08:00 GMT	1	0	1	0	1	2	2	0	0	0	0	1	2	0	0	0	1	2	0	0	3	0	0	0	0	4	0	3	1	1	3	1	3	1	3	2	1	0	1	0	2	0	0	1	0	1	4	0	0	1
Vacansoleil haalt Zeeuwse mosselen weer terug in TourMon, 18 Jul 2011 14:03:00 GMT	0	1	0	1	1	0	0	0	0	1	0	2	2	0	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0
Moeder Natuur is een voorbeeldig ingenieurMon, 18 Jul 2011 10:41:00 GMT	4	4	1	6	9	6	5	2	4	1	3	3	12	4	5	4	5	11	4	5	18	2	8	0	5	6	3	5	4	4	4	1	1	10	4	3	4	1	2	3	6	9	12	7	6	0	13	0	11	2
Missie Henk Bres geslaagd, debat pedopartij komt erWed, 13 Jul 2011 06:09:00 GMT	0	1	0	1	0	2	1	2	0	0	0	0	1	0	0	1	0	1	1	0	1	2	0	0	0	0	0	2	1	1	0	2	0	0	1	0	0	0	0	0	0	3	1	0	3	0	1	0	0	0
Ouders niet op de hoogte van seks in tienerboekenThu, 07 Jul 2011 15:49:00 GMT	7	3	0	0	2	6	0	1	0	0	0	3	3	3	0	3	2	6	1	0	3	5	2	1	0	0	1	1	3	0	3	0	1	2	2	3	1	1	0	1	0	2	1	2	0	2	4	0	1	1
Opengevallen hemdsmouwenSat, 16 Jul 2011 09:44:00 GMT	0	4	5	3	8	12	6	2	0	7	7	19	22	4	6	24	11	38	10	39	35	2	12	7	36	0	3	5	7	3	11	17	1	6	4	4	17	3	1	6	7	14	3	17	15	2	37	1	1	5
'De perverse bezuinigingen van het kabinet'Fri, 15 Jul 2011 08:15:00 GMT	1	1	0	2	1	1	1	6	0	2	2	0	4	0	0	1	3	2	0	2	13	1	2	0	2	0	0	0	2	1	1	1	0	0	0	0	2	0	0	3	1	2	2	3	0	0	1	1	1	1
Ajax aast op Amoah, maar NAC hoort nog geen bodTue, 19 Jul 2011 06:04:00 GMT	0	0	0	1	0	1	6	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	2	0	0	1	0	1	3
Heister stelt teleur op WK 10 kilometerTue, 19 Jul 2011 05:34:00 GMT	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	1	1	0	0	2	0	1	2	1	0	0	0	1	0	0	1	0	2	0	1	1	1	0	1
Paracetamol maakt dementerende ouderen rustigTue, 19 Jul 2011 07:39:00 GMT	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	0	4	0	1	0	0	0	0	0	1	1	1	2	0	1	1	2	1	1	1	0	1	0	2	1	0	0	0	1	0	1
Windbos nieuwe inkomstenbron StaatsbosbeheerTue, 19 Jul 2011 06:18:00 GMT	0	0	0	2	1	2	4	0	2	0	0	0	2	0	3	3	0	0	3	0	1	1	2	0	0	0	0	3	4	0	2	1	1	2	0	1	1	1	0	0	1	1	0	3	0	0	1	2	5	0
Ongeneeslijk zieke broertjes krijgen geen medicijn meerWed, 13 Jul 2011 16:47:00 GMT	0	0	0	0	0	7	1	1	0	0	0	0	1	2	0	2	2	2	0	0	5	1	0	1	0	5	0	0	2	1	2	0	1	3	0	0	2	0	0	3	0	0	0	0	0	1	5	0	0	1
Tunesische jongen (14) door militairen gedood in wieg van de Arabische opstandMon, 18 Jul 2011 12:46:00 GMT	0	2	1	0	1	0	0	1	3	0	0	0	2	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1
Alleen PVV kan snavelbranden verleden tijd verklarenSat, 16 Jul 2011 07:40:00 GMT	2	2	2	1	3	2	1	0	2	0	2	0	9	0	0	5	1	1	1	3	2	2	3	2	0	2	1	0	2	2	2	3	3	1	2	1	1	0	1	0	1	5	0	1	2	3	7	1	4	4
'Augsburg-trainer Luhukay mag 34 keer verliezen'Mon, 18 Jul 2011 09:21:00 GMT	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	1	1	0	1
'Geen verdeeldheid bisschoppen'Sat, 16 Jul 2011 04:00:00 GMT	5	0	7	3	2	12	5	5	0	15	6	2	15	8	3	14	3	5	9	20	12	1	13	2	8	2	1	5	5	2	11	5	2	9	3	5	5	0	2	3	4	11	7	16	10	4	21	5	1	3
'Nederlaag Murdoch past perfect in tabloidcultuur'Fri, 15 Jul 2011 06:58:00 GMT	0	3	0	2	1	1	2	0	2	0	0	1	1	0	1	2	4	0	1	0	2	0	1	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0	1	2	2	2	0	0	4	0	0	0
Onderzoek rituele slacht hoeft niet opnieuwThu, 07 Jul 2011 11:33:00 GMT	0	1	1	0	2	3	0	0	0	0	0	0	1	1	0	2	1	1	0	0	2	1	0	0	0	1	0	2	2	1	0	1	0	1	1	2	2	0	1	0	0	1	5	0	0	0	2	0	0	0
Automobilist met 1 been laat zoon (11) koppeling doenFri, 15 Jul 2011 15:48:00 GMT	0	1	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	3	0	0	0
Amerikaans grut veiliger bij opa of oma in de autoMon, 18 Jul 2011 04:57:00 GMT	0	0	0	0	1	2	0	0	0	2	2	1	1	0	0	1	1	2	0	0	0	1	2	1	0	0	0	1	0	0	4	3	1	0	0	2	0	1	0	1	0	0	3	4	0	0	1	0	0	2
Gouden plaat voor Do met Hazes-coverSun, 17 Jul 2011 11:39:00 GMT	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0
Een indringster aan de dinertafelSat, 02 Jul 2011 09:00:00 GMT	5	1	2	1	1	8	4	2	1	2	2	5	5	1	4	11	5	1	5	24	7	7	12	0	0	0	0	1	4	1	7	8	4	3	1	0	2	2	2	0	4	12	8	8	8	2	10	4	1	3
Afluisterschandaal toont aan: de politicus kan niet zonder mediaTue, 19 Jul 2011 07:24:00 GMT	1	1	1	1	1	4	2	0	1	0	0	6	2	1	2	5	1	2	1	0	8	1	6	3	0	1	2	3	3	0	2	3	1	1	3	0	1	3	4	2	2	4	6	5	6	0	5	0	1	0
Theo Maassen hangt in fotogalerij stadhuis EindhovenMon, 18 Jul 2011 07:45:00 GMT	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magistrale biografie van Jeruzalem vol moord en doodslagSun, 17 Jul 2011 13:19:00 GMT	1	2	1	4	8	7	3	1	1	0	1	5	5	2	3	6	1	2	0	0	7	6	5	1	2	0	2	2	1	1	2	1	1	4	0	4	2	0	1	5	2	4	3	6	4	0	9	1	1	4
'Een op tien dier- en plantsoorten sterft tegen 2100 uit'Mon, 18 Jul 2011 12:40:00 GMT	0	1	1	3	0	3	0	1	2	1	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	1	2	1	0	3	1	4	1	0	3	0	1	2	2	4	0	2	1	0	2	0
Afluisterschandaal: Hoofd Scotland Yard stapt opSun, 17 Jul 2011 18:57:00 GMT	0	0	3	0	3	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	4	0	5	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	3	1	2	1	3	0	3	0	0	0
Geen identiteitskaart zonder vingerafdrukkenMon, 18 Jul 2011 23:20:00 GMT	0	1	1	0	0	1	2	1	1	0	0	0	1	0	2	0	0	0	0	0	7	0	2	1	0	2	0	0	5	2	1	1	0	2	1	0	2	0	0	0	1	1	0	2	5	1	4	1	1	2
De spagaat van Jan Kees de JagerTue, 12 Jul 2011 10:19:00 GMT	10	5	6	7	2	5	3	0	0	0	2	14	8	2	1	8	8	5	5	1	14	1	11	3	1	0	1	1	6	1	6	5	2	5	7	3	4	10	1	1	2	7	3	13	21	3	13	4	3	4
Poging twee keer Vierdaagse uitlopen misluktTue, 19 Jul 2011 08:08:00 GMT	0	0	0	0	2	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	1
Wat te doen met een wanstaltig kunstobject?Sat, 25 Jun 2011 09:00:00 GMT	6	1	3	0	2	8	3	2	1	1	7	0	5	5	5	9	4	2	2	28	7	2	8	0	7	0	1	4	0	3	1	2	2	1	5	1	4	0	3	1	2	9	9	12	3	5	23	3	2	2
'Geen democratische wending in Marokko'Mon, 18 Jul 2011 07:21:00 GMT	3	2	1	3	1	3	4	0	1	0	1	3	2	1	1	3	2	0	0	0	12	1	1	2	0	1	1	1	1	4	3	0	0	3	2	0	4	0	3	1	1	2	1	2	1	0	4	0	0	1
Schleck-broers offeren zich desnoods voor elkaar opMon, 18 Jul 2011 14:03:00 GMT	0	2	0	0	1	3	0	0	0	2	0	0	1	1	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	2	0	2	0	0	2	1	0	3
'Getrainde apen van Idi Amin gebruiken wapens'Sat, 16 Jul 2011 20:11:00 GMT	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	1	0	0	1	0	1	1
De Horror van Sant'Anna (2)Wed, 13 Jul 2011 21:30:00 GMT	0	1	0	1	1	5	0	0	0	2	1	4	1	0	0	4	0	1	3	0	4	0	1	0	0	0	2	6	5	0	1	3	4	0	0	1	1	0	1	4	0	2	1	1	4	0	2	1	3	2
Pakistan hoopt op hulp geestelijken bij bestrijding terrorismeWed, 13 Jul 2011 15:57:00 GMT	0	3	0	2	3	3	0	2	3	6	1	0	2	0	0	1	0	3	0	0	3	0	2	1	0	0	1	2	3	1	2	0	3	3	1	1	0	1	1	3	5	3	1	0	4	0	1	0	2	0
Beschermd gebied voor walvis op zuidelijk halfrond nog ver wegSat, 16 Jul 2011 08:52:00 GMT	0	0	0	1	2	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	2	2	2	2	0	2	0	1	3	0	2	0	2	0	2	1	0	0	0	1	1	4	0	0	0	0	5	0	2	0
Belgische sites verwijderd van Google na rechtszaak; weer niet goedSat, 16 Jul 2011 20:06:00 GMT	1	1	0	0	1	2	0	0	3	3	0	1	1	0	0	2	2	0	1	1	2	2	1	0	0	1	3	2	1	0	0	0	1	4	1	1	0	0	0	3	2	2	0	0	0	1	4	2	1	1
Juwelier die allochtonen weigert, vestigt terecht de aandacht op onveiligheidSat, 16 Jul 2011 02:55:00 GMT	2	1	1	1	1	2	1	0	1	0	0	0	3	0	3	2	1	5	1	0	2	2	3	0	0	0	3	0	3	0	2	2	3	2	0	2	1	1	0	4	1	5	3	2	6	2	3	0	2	0
Voor Wiesenthal stond hij op één, maar Kepiro is onschuldigMon, 18 Jul 2011 10:36:00 GMT	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	2	0	1	1	0	0
'De kerk zou zich weer moeten inlaten met grote denkers'Thu, 30 Jun 2011 14:14:00 GMT	4	3	2	2	0	8	3	5	1	16	5	1	7	4	2	12	2	0	2	20	13	1	8	1	9	1	0	2	1	10	4	4	0	4	1	2	3	1	1	1	0	4	1	4	4	3	19	5	0	3
OPTA onderzoekt betrouwbaarheid NuDoneren.nlMon, 18 Jul 2011 11:48:00 GMT	0	0	0	0	1	0	3	3	0	1	0	0	2	1	2	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	2	2	0	0	1	1	0	0	1	0	0	1
'Shell niet schuldig, maar ook niet vrijgepleit van olievervuiling'Tue, 19 Jul 2011 09:40:00 GMT	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0
Kost kunst te veel? Voetbal, dat is pas duurSun, 17 Jul 2011 07:00:00 GMT	0	0	1	2	0	3	0	0	0	0	1	0	1	1	0	2	0	0	2	1	1	0	3	0	0	0	1	0	0	0	3	3	1	0	2	1	0	0	1	0	0	0	1	0	0	1	2	5	1	4
Nederlanders vrijgevigst aan goede doelenMon, 04 Jul 2011 15:04:00 GMT	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
Iran zet extra vaart achter nucleair programmaTue, 19 Jul 2011 08:28:00 GMT	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Onderzoek toren Hoogersmilde begint woensdagSun, 17 Jul 2011 22:45:00 GMT	0	0	1	1	3	3	2	0	0	0	0	2	2	1	1	2	0	1	1	0	2	0	1	0	0	0	0	2	1	1	1	2	0	1	0	1	1	0	0	0	0	1	0	0	0	2	3	0	2	3
Kamer terug van reces voor debat eurocrisisMon, 18 Jul 2011 11:20:00 GMT	0	1	1	0	0	3	1	0	0	0	1	1	4	0	1	0	0	0	0	0	5	1	0	1	0	2	0	1	2	0	3	0	0	1	3	0	0	2	0	0	0	2	0	1	1	0	2	2	1	2
Het wordt nu of nooit voor de euroTue, 19 Jul 2011 06:24:00 GMT	1	4	1	2	0	2	2	0	2	2	1	0	4	4	2	3	2	5	1	0	3	0	6	0	0	0	1	0	2	1	1	3	0	2	2	2	3	1	2	0	1	3	2	3	0	4	5	3	3	5
